min-Height,max-Height,60,120,180,240,300,360,366
0,500,2859,4301,3850,5643,2856,3376,166
500,1000,4055,3012,4499,7347,3306,4518,183
1000,1500,5893,2707,5193,6488,4480,5790,233
1500,2000,6027,2786,5023,4238,5114,6714,170
2000,2500,6116,3187,3390,2681,5465,8817,197
2500,3000,5372,3644,1519,1729,4101,8467,289
3000,3500,5134,3868,877,986,2203,5744,208
3500,4000,3738,3613,788,314,1308,3852,250
4000,4500,2209,3698,363,143,1144,1882,378
4500,5000,2095,3090,242,83,765,1250,656
5000,5500,1809,1918,203,43,664,853,752
5500,6000,1467,1270,258,60,527,570,255
6000,6500,1221,1360,434,77,327,607,211
6500,7000,1057,1577,687,146,518,617,200
7000,7500,687,2096,1097,180,785,985,328
7500,8000,1166,2509,1437,296,1021,1302,389
8000,8500,1698,2485,1822,610,1365,1587,521
8500,9000,1514,2559,1574,1071,1427,2033,562
9000,9500,1420,2574,2203,1282,1963,1435,368
9500,10000,994,2462,2801,1733,1739,1000,299
10000,10500,723,2355,3544,2220,2577,998,159
10500,11000,419,1485,3642,2223,2982,596,0
11000,11500,553,1425,4033,2324,3425,658,0
11500,12000,558,2135,3387,2213,3475,493,0
12000,99999,2248,6759,19928,18356,21516,1883,279
-1,99999,28791,20962,17048,27371,14801,23781,1930
-9999,99999,0,0,0,0,0,0,0
